engine,workload,size,threads,ts,writes,reads,response_time,tps,user_provided_threads
ft,oltp,2000000,1,10,551.62,859.03,30.57,1410.66,1
ft,oltp,2000000,1,20,593.60,902.80,27.20,1496.40,1
ft,oltp,2000000,1,30,637.00,953.60,25.18,1590.60,1
ft,oltp,2000000,1,40,656.60,963.70,24.71,1620.30,1
ft,oltp,2000000,1,50,634.20,902.30,25.00,1536.50,1
ft,oltp,2000000,1,60,670.60,945.80,23.71,1616.40,1
ft,oltp,2000000,1,70,701.40,964.20,22.36,1665.60,1
ft,oltp,2000000,1,80,730.80,993.40,21.73,1724.20,1
ft,oltp,2000000,1,90,735.00,979.80,21.62,1714.80,1
ft,oltp,2000000,1,100,742.00,974.30,22.19,1716.30,1
ft,oltp,2000000,1,110,758.80,985.90,21.66,1744.70,1
ft,oltp,2000000,1,120,765.80,974.30,21.86,1740.10,1
ft,oltp,2000000,1,130,779.80,984.10,21.98,1763.90,1
ft,oltp,2000000,1,140,800.80,1007.80,21.60,1808.60,1
ft,oltp,2000000,1,150,817.60,1002.30,21.77,1819.90,1
ft,oltp,2000000,1,160,833.00,1017.00,21.32,1850.00,1
ft,oltp,2000000,1,170,869.40,1048.10,20.61,1917.50,1
ft,oltp,2000000,1,180,873.60,1052.20,20.82,1925.80,1
ft,oltp,2000000,1,190,873.60,1044.10,20.90,1917.70,1
ft,oltp,2000000,1,200,887.60,1048.30,20.35,1935.90,1
ft,oltp,2000000,1,210,879.20,1029.00,20.49,1908.20,1
ft,oltp,2000000,1,220,880.60,1026.20,21.09,1906.80,1
ft,oltp,2000000,1,230,908.60,1051.60,20.69,1960.20,1
ft,oltp,2000000,1,240,928.20,1073.50,20.12,2001.70,1
ft,oltp,2000000,1,250,933.80,1072.70,20.02,2006.50,1
ft,oltp,2000000,1,260,963.20,1094.20,19.71,2057.40,1
ft,oltp,2000000,1,270,942.20,1075.50,20.44,2017.70,1
ft,oltp,2000000,1,280,928.20,1055.70,20.86,1983.90,1
ft,oltp,2000000,1,290,933.80,1056.50,20.56,1990.30,1
ft,oltp,2000000,1,300,945.00,1069.10,19.85,2014.10,1
ft,oltp,2000000,1,310,966.00,1089.20,19.86,2055.20,1
ft,oltp,2000000,1,320,966.00,1086.50,19.60,2052.50,1
ft,oltp,2000000,1,330,950.60,1062.70,20.45,2013.30,1
ft,oltp,2000000,1,340,968.80,1078.10,20.44,2046.90,1
ft,oltp,2000000,1,350,981.40,1087.30,20.07,2068.70,1
ft,oltp,2000000,1,360,963.20,1052.00,19.99,2015.20,1
ft,oltp,2000000,1,370,949.20,1027.60,21.10,1976.80,1
ft,oltp,2000000,1,380,968.80,1053.90,20.17,2022.70,1
ft,oltp,2000000,1,390,975.80,1062.80,20.00,2038.60,1
ft,oltp,2000000,1,400,984.20,1056.50,20.69,2040.70,1
ft,oltp,2000000,1,410,970.20,1039.70,20.05,2009.90,1
ft,oltp,2000000,1,420,974.40,1031.80,20.62,2006.20,1
ft,oltp,2000000,1,430,984.20,1045.80,20.13,2030.00,1
ft,oltp,2000000,1,440,1001.00,1049.40,19.67,2050.40,1
ft,oltp,2000000,1,450,1002.40,1039.70,20.13,2042.10,1
ft,oltp,2000000,1,460,1026.20,1067.40,19.36,2093.60,1
ft,oltp,2000000,1,470,994.00,1024.40,19.77,2018.40,1
ft,oltp,2000000,1,480,1016.40,1036.80,19.50,2053.20,1
ft,oltp,2000000,1,490,1033.20,1048.80,19.44,2082.00,1
ft,oltp,2000000,1,500,1001.00,1016.70,20.17,2017.70,1
ft,oltp,2000000,1,510,1022.00,1019.50,19.80,2041.50,1
ft,oltp,2000000,1,520,1019.20,1010.80,19.68,2030.00,1
ft,oltp,2000000,1,530,1036.00,1024.00,19.53,2060.00,1
ft,oltp,2000000,1,540,1010.80,997.50,19.50,2008.30,1
ft,oltp,2000000,1,550,1010.80,981.30,19.64,1992.10,1
ft,oltp,2000000,1,560,1008.00,985.40,19.54,1993.40,1
ft,oltp,2000000,1,570,1020.60,992.10,19.35,2012.70,1
ft,oltp,2000000,1,580,1019.20,988.80,19.87,2008.00,1
ft,oltp,2000000,1,590,1022.00,984.90,19.60,2006.90,1
ft,oltp,2000000,1,600,995.40,963.90,19.80,1959.30,1
ft,oltp,2000000,1,610,989.80,958.30,20.10,1948.10,1
ft,oltp,2000000,1,620,995.40,957.60,19.33,1953.00,1
ft,oltp,2000000,1,630,994.00,959.40,20.06,1953.40,1
ft,oltp,2000000,1,640,991.20,950.00,19.75,1941.20,1
ft,oltp,2000000,1,650,988.40,949.40,19.92,1937.80,1
ft,oltp,2000000,1,660,1008.00,958.10,19.75,1966.10,1
ft,oltp,2000000,1,670,994.00,953.40,19.65,1947.40,1
ft,oltp,2000000,1,680,1001.00,960.30,19.80,1961.30,1
ft,oltp,2000000,1,690,975.80,928.60,20.07,1904.40,1
ft,oltp,2000000,1,700,977.20,927.60,19.96,1904.80,1
ft,oltp,2000000,1,710,1001.00,948.90,19.33,1949.90,1
ft,oltp,2000000,1,720,991.20,942.70,19.97,1933.90,1
ft,oltp,2000000,128,10,1460.19,2415.38,1455.06,3875.57,128
ft,oltp,2000000,128,20,1617.00,2353.90,1376.26,3970.90,128
ft,oltp,2000000,128,30,1898.40,2625.80,1179.29,4524.20,128
ft,oltp,2000000,128,40,2270.80,3007.30,1029.75,5278.10,128
ft,oltp,2000000,128,50,2703.40,3425.60,912.72,6129.00,128
ft,oltp,2000000,128,60,3173.00,3846.70,839.09,7019.70,128
ft,oltp,2000000,128,70,3770.80,4448.90,755.40,8219.70,128
ft,oltp,2000000,128,80,4211.40,4856.30,712.15,9067.70,128
ft,oltp,2000000,128,90,4624.20,5211.00,686.20,9835.20,128
ft,oltp,2000000,128,100,5061.00,5612.10,665.76,10673.10,128
ft,oltp,2000000,128,110,5299.00,5635.90,651.76,10934.90,128
ft,oltp,2000000,128,120,5384.40,5513.30,648.84,10897.70,128
ft,oltp,2000000,128,130,5532.70,5503.70,633.87,11036.40,128
ft,oltp,2000000,128,140,5797.50,5536.90,608.76,11334.40,128
ft,oltp,2000000,128,150,10488.10,10073.70,772.09,20561.80,128
ft,oltp,2000000,128,160,5483.10,5202.10,1352.98,10685.20,128
ft,oltp,2000000,128,170,3313.80,3130.10,3135.70,6443.90,128
ft,oltp,2000000,128,180,2563.40,2396.90,3128.20,4960.30,128
ft,oltp,2000000,128,190,2525.60,2381.00,3682.52,4906.60,128
ft,oltp,2000000,128,200,2569.00,2404.10,3577.14,4973.10,128
ft,oltp,2000000,128,210,2489.20,2338.70,3804.66,4827.90,128
ft,oltp,2000000,128,220,2192.40,2058.00,4085.60,4250.40,128
ft,oltp,2000000,128,230,2207.80,2065.50,4462.79,4273.30,128
ft,oltp,2000000,128,240,2226.00,2080.30,4353.28,4306.30,128
ft,oltp,2000000,128,250,2221.80,2072.50,3908.55,4294.30,128
ft,oltp,2000000,128,260,2235.80,2079.50,4371.56,4315.30,128
ft,oltp,2000000,128,270,2210.60,2059.40,4078.27,4270.00,128
