counter,disk,type,parallel_threads,threads,busy,qtime,stime
1,nvme0n1,baseline,1,1,100,0.2,0.0
2,nvme0n1,baseline,1,1,100,0.2,0.0
3,nvme0n1,baseline,1,1,100,0.2,0.0
4,nvme0n1,baseline,1,1,100,0.2,0.0
5,nvme0n1,baseline,1,1,100,0.2,0.0
6,nvme0n1,baseline,1,1,99,0.2,0.0
7,nvme0n1,baseline,1,1,99,0.2,0.0
8,nvme0n1,baseline,1,1,99,0.2,0.0
9,nvme0n1,baseline,1,1,98,0.2,0.1
10,nvme0n1,baseline,1,1,98,0.2,0.1
11,nvme0n1,baseline,1,1,98,0.2,0.1
12,nvme0n1,baseline,1,1,98,0.2,0.1
13,nvme0n1,baseline,1,1,96,0.2,0.1
14,nvme0n1,baseline,1,1,97,0.2,0.1
15,nvme0n1,baseline,1,1,97,0.1,0.1
16,nvme0n1,baseline,1,1,96,0.2,0.1
17,nvme0n1,baseline,1,1,97,0.1,0.1
18,nvme0n1,baseline,1,1,98,0.2,0.1
19,nvme0n1,baseline,1,1,95,0.1,0.1
20,nvme0n1,baseline,1,1,94,0.1,0.1
21,nvme0n1,baseline,1,1,97,0.2,0.1
22,nvme0n1,baseline,1,1,96,1.5,0.1
23,nvme0n1,baseline,1,1,97,2.7,0.1
24,nvme0n1,baseline,1,1,98,2.8,0.1
25,nvme0n1,baseline,1,1,98,2.6,0.1
26,nvme0n1,baseline,1,1,97,2.7,0.1
27,nvme0n1,baseline,1,1,99,2.8,0.1
28,nvme0n1,baseline,1,1,97,2.9,0.1
29,nvme0n1,baseline,1,1,98,3.0,0.1
30,nvme0n1,baseline,1,1,98,2.8,0.1
31,nvme0n1,baseline,1,1,96,2.6,0.1
32,nvme0n1,baseline,1,1,96,2.7,0.1
33,nvme0n1,baseline,1,1,96,3.0,0.1
34,nvme0n1,baseline,1,1,96,2.9,0.1
35,nvme0n1,baseline,1,1,97,2.8,0.1
36,nvme0n1,baseline,1,1,96,2.7,0.1
37,nvme0n1,baseline,1,1,97,2.9,0.1
38,nvme0n1,baseline,1,1,96,2.9,0.1
39,nvme0n1,baseline,1,1,96,3.0,0.1
40,nvme0n1,baseline,1,1,96,3.0,0.1
41,nvme0n1,baseline,1,1,96,2.8,0.1
42,nvme0n1,baseline,1,1,96,2.9,0.1
43,nvme0n1,baseline,1,1,94,3.0,0.1
44,nvme0n1,baseline,1,1,96,3.0,0.1
45,nvme0n1,baseline,1,1,94,3.1,0.1
46,nvme0n1,baseline,1,1,97,2.7,0.1
47,nvme0n1,baseline,1,1,96,3.0,0.1
48,nvme0n1,baseline,1,1,96,2.9,0.1
49,nvme0n1,baseline,1,1,94,2.9,0.1
50,nvme0n1,baseline,1,1,94,3.0,0.1
51,nvme0n1,baseline,1,1,93,3.0,0.1
52,nvme0n1,baseline,1,1,96,3.0,0.1
53,nvme0n1,baseline,1,1,92,2.9,0.1
54,nvme0n1,baseline,1,1,95,2.9,0.1
55,nvme0n1,baseline,1,1,94,3.1,0.1
56,nvme0n1,baseline,1,1,95,3.1,0.1
57,nvme0n1,baseline,1,1,93,2.9,0.1
58,nvme0n1,baseline,1,1,96,3.0,0.1
59,nvme0n1,baseline,1,1,92,3.4,0.1
60,nvme0n1,baseline,1,1,93,3.1,0.1
61,nvme0n1,baseline,1,1,93,3.7,0.1
62,nvme0n1,baseline,1,1,93,3.6,0.1
63,nvme0n1,baseline,1,1,92,3.7,0.1
64,nvme0n1,baseline,1,1,92,3.5,0.1
65,nvme0n1,baseline,1,1,86,0.8,0.1
66,nvme0n1,baseline,1,1,80,0.1,0.1
67,nvme0n1,baseline,1,1,81,0.1,0.1
68,nvme0n1,baseline,1,1,78,0.1,0.1
69,nvme0n1,baseline,1,1,79,0.1,0.1
70,nvme0n1,baseline,1,1,74,0.1,0.1
71,nvme0n1,baseline,1,1,80,0.1,0.1
72,nvme0n1,baseline,1,1,79,0.1,0.1
73,nvme0n1,baseline,1,1,70,0.1,0.1
74,nvme0n1,baseline,1,1,74,0.1,0.1
75,nvme0n1,baseline,1,1,74,0.0,0.1
76,nvme0n1,baseline,1,1,72,0.1,0.1
77,nvme0n1,baseline,1,1,75,0.1,0.1
78,nvme0n1,baseline,1,1,73,0.1,0.1
79,nvme0n1,baseline,1,1,76,0.1,0.1
80,nvme0n1,baseline,1,1,73,0.1,0.1
81,nvme0n1,baseline,1,1,74,0.1,0.1
82,nvme0n1,baseline,1,1,68,0.1,0.1
83,nvme0n1,baseline,1,1,66,0.0,0.1
84,nvme0n1,baseline,1,1,66,0.1,0.1
1,nvme0n1,compression,1,1,100,0.2,0.0
2,nvme0n1,compression,1,1,100,0.2,0.0
3,nvme0n1,compression,1,1,100,0.2,0.0
4,nvme0n1,compression,1,1,99,0.2,0.0
5,nvme0n1,compression,1,1,100,0.2,0.0
6,nvme0n1,compression,1,1,100,0.2,0.0
7,nvme0n1,compression,1,1,98,0.2,0.0
8,nvme0n1,compression,1,1,99,0.2,0.1
9,nvme0n1,compression,1,1,98,0.2,0.1
10,nvme0n1,compression,1,1,99,0.2,0.1
11,nvme0n1,compression,1,1,96,0.2,0.1
12,nvme0n1,compression,1,1,99,0.2,0.1
13,nvme0n1,compression,1,1,98,0.2,0.1
14,nvme0n1,compression,1,1,96,0.2,0.1
15,nvme0n1,compression,1,1,96,0.2,0.1
16,nvme0n1,compression,1,1,97,0.2,0.1
17,nvme0n1,compression,1,1,98,0.2,0.1
18,nvme0n1,compression,1,1,96,0.2,0.1
19,nvme0n1,compression,1,1,96,0.2,0.1
20,nvme0n1,compression,1,1,93,0.1,0.1
21,nvme0n1,compression,1,1,95,0.2,0.1
22,nvme0n1,compression,1,1,94,0.2,0.1
23,nvme0n1,compression,1,1,94,0.4,0.1
24,nvme0n1,compression,1,1,98,0.6,0.1
25,nvme0n1,compression,1,1,94,0.6,0.1
26,nvme0n1,compression,1,1,97,0.7,0.1
27,nvme0n1,compression,1,1,95,0.7,0.1
28,nvme0n1,compression,1,1,96,0.6,0.1
29,nvme0n1,compression,1,1,91,0.6,0.1
30,nvme0n1,compression,1,1,93,0.7,0.1
31,nvme0n1,compression,1,1,93,0.6,0.1
32,nvme0n1,compression,1,1,95,0.7,0.1
33,nvme0n1,compression,1,1,96,0.7,0.1
34,nvme0n1,compression,1,1,94,0.8,0.1
35,nvme0n1,compression,1,1,94,0.7,0.1
36,nvme0n1,compression,1,1,91,0.7,0.1
37,nvme0n1,compression,1,1,93,0.7,0.1
38,nvme0n1,compression,1,1,94,0.7,0.1
39,nvme0n1,compression,1,1,89,0.6,0.1
40,nvme0n1,compression,1,1,91,0.6,0.1
41,nvme0n1,compression,1,1,92,0.7,0.1
42,nvme0n1,compression,1,1,91,0.6,0.1
43,nvme0n1,compression,1,1,88,0.7,0.1
44,nvme0n1,compression,1,1,86,0.7,0.1
45,nvme0n1,compression,1,1,91,0.8,0.1
46,nvme0n1,compression,1,1,84,0.7,0.1
47,nvme0n1,compression,1,1,88,0.6,0.1
48,nvme0n1,compression,1,1,86,0.6,0.1
49,nvme0n1,compression,1,1,90,0.7,0.1
50,nvme0n1,compression,1,1,88,0.7,0.1
51,nvme0n1,compression,1,1,86,0.7,0.1
52,nvme0n1,compression,1,1,87,0.7,0.1
53,nvme0n1,compression,1,1,84,0.6,0.1
54,nvme0n1,compression,1,1,84,0.7,0.1
55,nvme0n1,compression,1,1,86,0.8,0.1
56,nvme0n1,compression,1,1,84,0.8,0.1
57,nvme0n1,compression,1,1,81,0.7,0.1
58,nvme0n1,compression,1,1,83,0.7,0.1
59,nvme0n1,compression,1,1,80,0.6,0.1
60,nvme0n1,compression,1,1,78,0.7,0.1
61,nvme0n1,compression,1,1,80,0.7,0.1
62,nvme0n1,compression,1,1,82,0.7,0.1
63,nvme0n1,compression,1,1,81,0.7,0.1
64,nvme0n1,compression,1,1,77,0.8,0.1
65,nvme0n1,compression,1,1,80,0.7,0.1
